D;energy;sweeps;denergy;dSchmidt;min_Schmidt
32;-1299.8360213031383;156;9.413270163349807e-11;8.830635155301772e-11;9.545374178559928e-05
64;-1299.8362430858158;21;8.117240213323385e-11;9.833811462131869e-11;4.6391673532645835e-06
94;-1299.836244230268;10;6.502887117676437e-11;4.330452338118864e-12;8.092116718377474e-07
94;-1299.836244230277;3;5.3887561080046e-11;8.947263293131788e-13;8.092116718436121e-07
94;-1299.8362442302175;5;6.889422365929931e-11;6.861788843055297e-13;8.092116718363e-07
