D;energy;sweeps;denergy;dSchmidt;min_Schmidt
32;-5228.110709604333;200;2.9831426218152046e-09;3.833212417558807e-09;4.059524031856511e-05
64;-5228.110943965671;31;4.001776687800884e-11;2.1669370097594435e-12;1.742874564016577e-06
74;-5228.110944425629;15;9.094947017729282e-12;2.632453349117021e-12;9.546383376087814e-07
74;-5228.1109444253425;10;7.003109203651547e-11;2.9209877502972353e-12;9.546383376156445e-07
74;-5228.110944425481;40;1.1823431123048067e-11;2.348062802153991e-12;9.546383376298094e-07
74;-5228.110944425495;3;8.458300726488233e-11;2.6720390421457935e-12;9.546383376046153e-07
74;-5228.110944425437;6;4.3655745685100555e-11;2.364044044696274e-12;9.546383376172829e-07
74;-5228.1109444257245;18;9.913492249324918e-11;2.5216451063457103e-12;9.546383376259232e-07
74;-5228.1109444257245;18;9.913492249324918e-11;2.5216451063457103e-12;9.546383376259232e-07
