D;energy;sweeps;denergy;dSchmidt;min_Schmidt
32;-1303.2881312387785;168;5.979927664157003e-11;9.701246719967468e-11;5.0426988406363356e-05
64;-1303.2882067367625;26;8.640199666842818e-12;3.939054079402044e-11;2.2197726432528e-06
79;-1303.288206943358;7;3.501554601825774e-11;2.4764295276938973e-12;8.522807656763831e-07
79;-1303.288206943408;2;2.0236257114447653e-11;6.745271076851218e-13;8.522807657977849e-07
79;-1303.288206943367;3;4.843059286940843e-11;6.59773882334327e-13;8.522807657971527e-07
