D;energy;sweeps;denergy;dSchmidt;min_Schmidt
32;-1294.9876917684087;16;1.77351466845721e-11;1.0129207419193032e-12;3.2943364112467675e-05
64;-1294.987715164215;16;7.321432349272072e-11;4.029661313422249e-12;7.922153295703808e-07
64;-1294.9877151643198;5;6.002665031701326e-11;1.2410305837731434e-12;7.922153309953318e-07
64;-1294.9877151644366;5;8.981260180007666e-11;8.901931394058411e-13;7.922153309948885e-07
64;-1294.9877151642117;2;9.140421752817929e-11;1.4787913711734556e-12;7.922153309940847e-07
64;-1294.987715164279;5;6.707523425575346e-11;1.0494628633554099e-12;7.9221533099673e-07
64;-1294.9877151645226;8;7.958078640513122e-12;1.1576348048686616e-12;7.922153309971147e-07
64;-1294.9877151643575;8;8.481038094032556e-11;1.3936334161191326e-12;7.922153309901211e-07
64;-1294.9877151645226;8;7.958078640513122e-12;1.1576348048686616e-12;7.922153309971147e-07
