D;energy;sweeps;denergy;dSchmidt;min_Schmidt
32;-1298.8537307051909;32;7.844391802791506e-11;2.165177472767717e-11;0.00012710393589839003
64;-1298.8540973574013;20;3.7061909097246826e-11;9.560599248172588e-11;6.437866302981888e-06
102;-1298.854099735712;13;2.1373125491663814e-11;1.6351443117729025e-12;8.146076244380109e-07
102;-1298.854099735616;2;2.1600499167107046e-11;9.969894042463565e-13;8.146076244611743e-07
102;-1298.8540997356718;4;2.7057467377744615e-11;1.2157905349223066e-12;8.14607624455147e-07
