D;energy;sweeps;denergy;dSchmidt;min_Schmidt
32;-1301.4505968167127;38;4.729372449219227e-11;7.692744272778398e-12;1.641690022827858e-05
56;-1301.4506035035347;16;4.411049303598702e-11;5.100396300138368e-13;8.99229592598502e-07
56;-1301.450603503522;3;7.503331289626658e-11;6.519720938010269e-13;8.992295925769032e-07
56;-1301.4506035033337;7;8.208189683500677e-11;7.343785594052049e-13;8.992295925883841e-07
56;-1301.4506035035945;2;3.524291969370097e-11;7.21266750884956e-13;8.992295925874818e-07
56;-1301.4506035035447;4;4.865796654485166e-11;7.638657149143454e-13;8.992295925839044e-07
56;-1301.4506035036482;5;2.4101609596982598e-11;5.981788083532644e-13;8.992295925914686e-07
56;-1301.4506035035024;5;8.208189683500677e-11;7.951847684142644e-13;8.992295925925591e-07
56;-1301.4506035036482;5;2.4101609596982598e-11;5.981788083532644e-13;8.992295925914686e-07
