D;energy;sweeps;denergy;dSchmidt;min_Schmidt
32;-5201.690579230443;56;8.549250196665525e-11;6.095320925061222e-12;0.00016369095836856005
64;-5201.693325707471;22;4.092726157978177e-11;5.9561336281062115e-12;1.0229753929099125e-05
110;-5201.693348814821;34;4.18367562815547e-11;6.7644905727293815e-12;8.344813331474294e-07
110;-5201.6933488154045;30;6.002665031701326e-11;7.27918355710083e-12;8.344813330809018e-07
110;-5201.6933488154045;30;6.002665031701326e-11;7.27918355710083e-12;8.344813330809018e-07
110;-5201.69334881388;11;9.913492249324918e-11;1.1078251292421091e-11;8.344813331808384e-07
110;-5201.693348815273;22;1.8189894035458565e-12;6.810810343027507e-12;8.344813331642234e-07
110;-5201.693348815273;22;1.8189894035458565e-12;6.810810343027507e-12;8.344813331642234e-07
110;-5201.693348815273;22;1.8189894035458565e-12;6.810810343027507e-12;8.344813331642234e-07
