D;energy;sweeps;denergy;dSchmidt;min_Schmidt
32;-5211.393998679655;200;2.7330315788276494e-09;1.7414372733977093e-09;7.886284973785253e-05
64;-5211.394723070578;73;3.2741809263825417e-11;4.284549001107247e-11;3.673582947746329e-06
87;-5211.3947264040025;46;9.094947017729282e-11;5.1844115420833425e-12;8.112804141865183e-07
87;-5211.394726403128;66;3.8198777474462986e-11;3.4624253842907533e-12;8.112804141936036e-07
87;-5211.394726403128;66;3.8198777474462986e-11;3.4624253842907533e-12;8.112804141936036e-07
87;-5211.394726403503;2;8.276401786133647e-11;3.5074124033148807e-12;8.11280414212142e-07
87;-5211.394726403685;21;4.729372449219227e-11;3.168873467171813e-12;8.112804141918773e-07
87;-5211.394726403685;21;4.729372449219227e-11;3.168873467171813e-12;8.112804141918773e-07
87;-5211.394726403685;21;4.729372449219227e-11;3.168873467171813e-12;8.112804141918773e-07
