D;energy;sweeps;denergy;dSchmidt;min_Schmidt
32;-5221.812596484626;168;9.822542779147625e-11;6.245671175662614e-11;5.042721974242829e-05
64;-5221.812932519974;26;2.1827872842550278e-11;5.851758755836123e-11;2.2198726494430193e-06
79;-5221.81293349237;25;7.185008144006133e-11;2.7749489417480375e-12;8.522874201201087e-07
79;-5221.812933491289;39;7.457856554538012e-11;3.3610764408987995e-12;8.522874201234627e-07
79;-5221.812933491289;39;7.457856554538012e-11;3.3610764408987995e-12;8.522874201234627e-07
79;-5221.812933492685;4;1.8189894035458565e-12;2.4322170456820132e-12;8.522874201281814e-07
79;-5221.812933491913;17;4.092726157978177e-11;3.350865663266697e-12;8.522874201205681e-07
79;-5221.812933491913;17;4.092726157978177e-11;3.350865663266697e-12;8.522874201205681e-07
79;-5221.812933491913;17;4.092726157978177e-11;3.350865663266697e-12;8.522874201205681e-07
