D;energy;sweeps;denergy;dSchmidt;min_Schmidt
31;-164.19848059661243;7;1.0231815394945443e-12;8.210002395222184e-11;9.336516707713151e-07
31;-164.1984805966103;7;9.094947017729282e-13;8.316598307503162e-11;9.336516863847154e-07
31;-164.1984805966168;7;9.691802915767767e-12;7.010021193597225e-11;9.336516758426999e-07
31;-164.19848059660748;8;5.258016244624741e-12;3.0956762189441193e-12;9.336516720829687e-07
