D;energy;sweeps;denergy;dSchmidt;min_Schmidt
64;-162.6516926151823;190;3.325340003357269e-12;9.282629280240433e-11;7.89423403693945e-07
67;-162.65169261578305;192;2.842170943040401e-14;9.832007051347289e-11;7.378327876252281e-07
