D;energy;sweeps;denergy;dSchmidt;min_Schmidt
32;-1298.487404254652;14;9.868017514236271e-11;7.241675200522964e-13;2.2203258525030733e-05
58;-1298.4874152022076;22;4.865796654485166e-11;7.940417380286251e-13;8.366698798412283e-07
58;-1298.4874152022564;16;3.8198777474462986e-11;9.287370272115969e-13;8.366698798398471e-07
58;-1298.4874152022035;4;7.16227077646181e-11;8.747384736585511e-13;8.366698798407571e-07
58;-1298.4874152023015;8;5.4569682106375694e-12;8.667992401306502e-13;8.366698798365345e-07
58;-1298.487415202331;7;1.7053025658242404e-11;7.344209904870869e-13;8.366698798432673e-07
58;-1298.4874152022446;7;2.6147972675971687e-11;7.587101897083181e-13;8.366698798442301e-07
58;-1298.487415202331;7;1.7053025658242404e-11;7.344209904870869e-13;8.366698798432673e-07
58;-1298.4874152024747;12;7.935341272968799e-11;9.118507440338338e-13;8.366698798437698e-07
