D;energy;sweeps;denergy;dSchmidt;min_Schmidt
32;-5216.231003565186;84;4.274625098332763e-11;3.365729651588343e-11;6.285707458477519e-05
64;-5216.231492809443;11;6.366462912410498e-11;6.039676495402486e-11;2.783540493054225e-06
83;-5216.2314946456145;18;2.2737367544323206e-11;2.5571727794873856e-11;8.833961510070047e-07
83;-5216.231494646899;15;6.912159733474255e-11;2.6160237788030337e-12;8.833961510094727e-07
83;-5216.231494646899;15;6.912159733474255e-11;2.6160237788030337e-12;8.833961510094727e-07
