D;energy;sweeps;denergy;dSchmidt;min_Schmidt
32;-1300.680667788527;200;2.630713424878195e-10;1.5373658518719136e-09;7.885917936421005e-05
64;-1300.6808273485667;35;8.094502845779061e-11;8.002839834870873e-11;3.6726098383748533e-06
87;-1300.6808280440107;32;1.864464138634503e-11;7.217816584893616e-11;8.117428657376537e-07
87;-1300.6808280439561;4;5.7980287238024175e-11;1.1324122660360745e-11;8.117428657435525e-07
87;-1300.6808280440607;2;4.75210981676355e-11;4.486120586673978e-12;8.117428657408294e-07
