D;energy;sweeps;denergy;dSchmidt;min_Schmidt
32;-1291.386359620919;16;2.114575181622058e-11;1.9508687789100984e-12;5.862772062552091e-05
64;-1291.3864589628508;22;9.208633855450898e-11;1.5686392778138268e-12;2.540922525242109e-06
76;-1291.3864592086761;18;5.638867150992155e-11;2.1639185362557648e-12;9.762268486896788e-07
76;-1291.3864592085167;2;5.979927664157003e-11;2.2393329463711037e-12;9.762268486997096e-07
76;-1291.3864592084547;4;4.7975845518521965e-11;2.0580349639835172e-12;9.762268487064825e-07
76;-1291.3864592084672;3;6.434675015043467e-11;2.1025710327185477e-12;9.76226848698745e-07
76;-1291.3864592084672;3;6.434675015043467e-11;2.1025710327185477e-12;9.76226848698745e-07
76;-1291.3864592084399;3;4.274625098332763e-11;2.9057221004006687e-12;9.762268486838244e-07
76;-1291.3864592083762;14;1.77351466845721e-11;1.3875143509725621e-12;9.76226848696705e-07
