D;energy;sweeps;denergy;dSchmidt;min_Schmidt
32;-5208.016740903252;130;6.366462912410498e-12;7.918985586527507e-11;9.54655723236682e-05
64;-5208.017756399362;51;7.73070496506989e-11;3.933895751027602e-12;4.642437912038968e-06
94;-5208.017761912959;14;5.547917680814862e-11;5.1927472335174994e-12;8.086827397055173e-07
94;-5208.017761911977;5;4.092726157978177e-11;3.654234501841208e-12;8.086827397269971e-07
94;-5208.017761913171;13;5.3660187404602766e-11;3.9745315910973e-12;8.086827396572355e-07
