D;energy;sweeps;denergy;dSchmidt;min_Schmidt
32;-5204.084754053776;36;3.54702933691442e-11;6.021222294214279e-12;0.00012716772078380837
64;-5204.0864619837475;45;6.821210263296962e-11;6.37124082807405e-12;6.441122522059401e-06
102;-5204.086473775909;135;3.9108272176235914e-11;5.463233140135218e-12;8.168249294144785e-07
102;-5204.086473777697;22;2.8194335754960775e-11;5.869476421789599e-12;8.168249293611817e-07
102;-5204.086473777697;22;2.8194335754960775e-11;5.869476421789599e-12;8.168249293611817e-07
102;-5204.086473778278;14;2.7284841053187847e-12;7.085680106135448e-12;8.168249295098353e-07
