D;energy;sweeps;denergy;dSchmidt;min_Schmidt
32;-1310.4555889310418;43;6.139089236967266e-11;5.795510922685502e-11;8.22457841276701e-06
48;-1310.4555910852998;16;6.980371836107224e-11;5.203212069430658e-13;9.038486092829613e-07
48;-1310.455591084933;3;1.318767317570746e-11;4.725696718350016e-13;9.0384860928407e-07
48;-1310.4555910851705;3;6.775735528208315e-11;5.770635809610939e-13;9.038486092807244e-07
48;-1310.4555910850822;5;6.775735528208315e-11;4.377004189519866e-13;9.038486092837534e-07
48;-1310.4555910849697;2;2.2737367544323206e-11;4.4193315290474955e-13;9.038486092839853e-07
48;-1310.4555910849697;2;2.2737367544323206e-11;4.4193315290474955e-13;9.038486092839853e-07
48;-1310.4555910850518;3;9.731593308970332e-11;5.342391309672687e-13;9.038486092833365e-07
48;-1310.4555910850672;4;3.183231456205249e-12;4.556114815839998e-13;9.038486092826545e-07
