D;energy;sweeps;denergy;dSchmidt;min_Schmidt
32;-1298.2573150060614;27;4.092726157978177e-12;6.539116222223744e-11;0.00016341678581907723
64;-1298.2578912301774;23;5.2295945351943374e-11;3.898063725003486e-11;1.0220578559721589e-05
110;-1298.2578957419107;11;3.069544618483633e-11;7.297283794987837e-11;8.321291822618865e-07
110;-1298.2578957418134;3;6.821210263296962e-12;2.8939668497852003e-12;8.321300067824872e-07
110;-1298.2578957419491;3;3.888089850079268e-11;1.3683208803213473e-12;8.321300379694217e-07
