D;energy;sweeps;denergy;dSchmidt;min_Schmidt
64;-156.88513839411235;64;7.787548383930698e-12;8.280381534413027e-11;4.277991750713621e-06
89;-156.88513844116673;69;7.58859641791787e-12;8.32409260343852e-11;7.031095040858827e-07
