D;energy;sweeps;denergy;dSchmidt;min_Schmidt
32;-5200.200566708953;111;2.9103830456733704e-11;1.0064837901952332e-11;0.00020229128071141614
64;-5200.205166244186;28;2.7284841053187847e-11;7.715001097927106e-12;1.5432642669167006e-05
120;-5200.205214235815;23;7.003109203651547e-11;1.2941454523950383e-11;7.880149112449681e-07
120;-5200.205214236902;12;2.3646862246096134e-11;1.1253414581213701e-11;7.880149112353272e-07
120;-5200.2052142372895;20;4.3655745685100555e-11;1.0706450963479644e-11;7.880149112887247e-07
120;-5200.2052142364655;13;6.548361852765083e-11;1.2192486846961589e-11;7.880149112444539e-07
120;-5200.20521423709;21;3.092281986027956e-11;1.0589409301947568e-11;7.880149112577109e-07
120;-5200.20521423709;21;3.092281986027956e-11;1.0589409301947568e-11;7.880149112577109e-07
