D;energy;sweeps;denergy;dSchmidt;min_Schmidt
32;-1315.8330733795326;22;5.275069270282984e-11;6.518955838472527e-11;6.118257378094953e-06
45;-1315.8330747167977;16;7.139533408917487e-11;4.036035301757977e-13;1.0210893325194069e-06
45;-1315.8330747163086;3;6.184563972055912e-11;2.986296801512309e-13;1.0210893325342121e-06
45;-1315.8330747165778;8;2.3646862246096134e-11;4.2609770235020456e-13;1.0210893325428112e-06
45;-1315.833074716469;4;9.890754881780595e-11;3.6929070881566923e-13;1.0210893325243925e-06
45;-1315.8330747166806;2;4.320099833421409e-11;3.7636794401896604e-13;1.0210893325367012e-06
45;-1315.833074716734;3;7.867129170335829e-11;4.237793312900387e-13;1.0210893325383673e-06
45;-1315.833074716734;3;7.867129170335829e-11;4.237793312900387e-13;1.0210893325383673e-06
45;-1315.8330747162674;9;5.434230843093246e-11;3.974527380935223e-13;1.0210893325239563e-06
