D;energy;sweeps;denergy;dSchmidt;min_Schmidt
32;-1304.8648840932099;200;3.524291969370097e-10;3.916020859438914e-09;4.059516528248228e-05
64;-1304.8649370921585;20;1.432454155292362e-11;2.9300896631974533e-12;1.7429238556362752e-06
74;-1304.8649371900979;5;1.546140993013978e-11;5.493061087436515e-11;9.546368521682955e-07
74;-1304.8649371901067;2;3.7971403799019754e-11;5.450947452577086e-13;9.546368576532004e-07
74;-1304.8649371900663;2;2.7284841053187847e-12;3.312465411235222e-13;9.546368576858313e-07
