D;energy;sweeps;denergy;dSchmidt;min_Schmidt
32;-1305.6519256007364;29;6.093614501878619e-11;3.075561929763842e-11;1.1531356700235669e-05
53;-1305.651929358479;13;2.3874235921539366e-11;6.834929919681162e-11;9.125183310231148e-07
53;-1305.6519293584452;2;3.296918293926865e-11;5.583177374724262e-13;9.125183301424962e-07
53;-1305.6519293584468;4;3.956301952712238e-11;5.484830776210949e-13;9.125183301432351e-07
53;-1305.6519293582494;5;6.821210263296962e-13;5.483610299370556e-13;9.125183301512559e-07
53;-1305.6519293584968;4;9.5042196335271e-11;4.52115244130992e-13;9.12518330151581e-07
53;-1305.6519293585186;4;3.2514435588382185e-11;6.307002784027842e-13;9.125183301521636e-07
53;-1305.6519293581518;6;4.2518877307884395e-11;6.976215854952597e-13;9.12518330137146e-07
53;-1305.6519293581518;6;4.2518877307884395e-11;6.976215854952597e-13;9.12518330137146e-07
