D;energy;sweeps;denergy;dSchmidt;min_Schmidt
32;-1321.7587407121007;10;9.072209650184959e-11;1.7355881689523705e-11;4.7499129957636e-06
42;-1321.758741479248;4;7.321432349272072e-11;5.1640872396745246e-11;8.768184533635831e-07
42;-1321.7587414797574;2;3.433342499192804e-11;3.0585432487139076e-13;8.768184575458606e-07
42;-1321.7587414794596;3;2.955857780762017e-11;4.015245429582871e-13;8.768184575446521e-07
42;-1321.758741479534;3;5.1159076974727213e-11;3.4829668583334016e-13;8.768184575474265e-07
