D;energy;sweeps;denergy;dSchmidt;min_Schmidt
32;-1297.889118271301;24;3.637978807091713e-11;8.32192561612109e-11;0.00020344084055127836
64;-1297.8900467598244;23;5.616129783447832e-11;2.202693136151994e-12;1.5907722277024555e-05
120;-1297.8900556320054;15;7.298694981727749e-11;1.8772086814751847e-12;8.105955868527031e-07
120;-1297.8900556320866;2;2.8421709430404007e-11;2.793433033281048e-12;8.105955882235976e-07
120;-1297.8900556320114;2;7.639755494892597e-11;2.220981506481778e-12;8.10595588331318e-07
