D;energy;sweeps;denergy;dSchmidt;min_Schmidt
32;-1301.8910175248243;200;1.9099388737231493e-11;2.9946678716489595e-09;6.28561956192389e-05
64;-1301.891126582501;20;1.6370904631912708e-11;5.4924346672269476e-11;2.783318906669219e-06
83;-1301.8911269685007;16;5.002220859751105e-12;7.960846729613784e-11;8.833489929407703e-07
83;-1301.8911269683729;2;2.7284841053187847e-12;2.5566764095941853e-11;8.833489929440945e-07
83;-1301.8911269684022;2;8.049028110690415e-11;8.214741936611745e-12;8.83348992945735e-07
