D;energy;sweeps;denergy;dSchmidt;min_Schmidt
32;-1292.8050940849344;13;8.799361239653081e-11;8.082821242990762e-12;4.3750022002316404e-05
64;-1292.8051409090967;33;2.97859514830634e-11;2.7465125583213918e-11;1.3853606710380117e-06
71;-1292.805140985593;6;1.659827830735594e-11;8.518835995638057e-11;9.028371853727348e-07
71;-1292.8051409854374;2;3.7061909097246826e-11;2.5149069772766863e-12;9.028378693476265e-07
71;-1292.8051409857344;4;2.0691004465334117e-11;2.1222959917423937e-12;9.028378873466709e-07
71;-1292.805140985747;2;3.228706191293895e-11;1.63497203891945e-12;9.028378868976531e-07
71;-1292.805140985621;6;4.7066350816749036e-11;1.1425337266825374e-12;9.028378873474118e-07
71;-1292.805140985621;6;4.7066350816749036e-11;1.1425337266825374e-12;9.028378873474118e-07
71;-1292.8051409857103;10;8.776623872108757e-11;1.8155431646624995e-12;9.028378873564488e-07
